trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004021,19.07.00,23,19.07.00,0,6
1004021,19.11.00,24,19.11.00,0,5
1004021,19.15.00,25,19.15.00,0,4
1004021,19.17.00,26,19.17.00,0,3
1004021,19.19.00,27,19.19.00,0,2
1004021,19.26.00,28,19.26.00,0,1
1004023,6.26.00,1,6.26.00,0,1
1004023,6.33.00,2,6.33.00,0,2
1004023,6.35.00,3,6.35.00,0,3
1004023,6.37.00,4,6.37.00,0,4
1004023,6.41.00,5,6.41.00,0,5
1004023,6.45.00,6,6.45.00,0,6
1004023,6.47.00,7,6.47.00,0,7
1004023,6.51.00,8,6.51.00,0,8
1004023,6.55.00,9,6.55.00,0,9
1004023,6.58.00,10,6.58.00,0,10
1004023,7.00.00,11,7.00.00,0,11
1004023,7.02.00,12,7.02.00,0,12
1004023,7.03.00,13,7.03.00,0,13
1004023,7.05.00,14,7.05.00,0,14
1004023,7.09.00,15,7.09.00,0,15
1004023,7.11.00,16,7.11.00,0,16
1004023,7.13.00,17,7.13.00,0,17
1004023,7.14.00,18,7.14.00,0,18
1004023,7.15.00,19,7.15.00,0,19
1004023,7.17.00,20,7.17.00,0,20
1004023,7.19.00,21,7.19.00,0,21
1004023,7.21.00,22,7.21.00,0,22
1004023,7.25.00,23,7.25.00,0,23
1004023,7.28.00,24,7.28.00,0,24
1004023,7.31.00,25,7.31.00,0,25
1004023,7.33.00,26,7.33.00,0,26
1004023,7.37.00,27,7.37.00,0,27
1004023,7.40.00,28,7.40.00,0,28
1004024,7.46.00,1,7.46.00,0,28
1004024,7.49.00,2,7.49.00,0,27
1004024,7.53.00,3,7.53.00,0,26
1004024,7.55.00,4,7.55.00,0,25
1004024,7.58.00,5,7.58.00,0,24
1004024,8.01.00,6,8.01.00,0,23
1004024,8.05.00,7,8.05.00,0,22
1004024,8.07.00,8,8.07.00,0,21
1004024,8.09.00,9,8.09.00,0,20
1004024,8.11.00,10,8.11.00,0,19
1004024,8.12.00,11,8.12.00,0,18
1004024,8.13.00,12,8.13.00,0,17
1004024,8.15.00,13,8.15.00,0,16
1004024,8.17.00,14,8.17.00,0,15
1004024,8.21.00,15,8.21.00,0,14
1004024,8.23.00,16,8.23.00,0,13
1004024,8.24.00,17,8.24.00,0,12
1004024,8.26.00,18,8.26.00,0,11
1004024,8.28.00,19,8.28.00,0,10
1004024,8.31.00,20,8.31.00,0,9
1004024,8.35.00,21,8.35.00,0,8
1004024,8.39.00,22,8.39.00,0,7
1004024,8.41.00,23,8.41.00,0,6
1004024,8.45.00,24,8.45.00,0,5
1004024,8.49.00,25,8.49.00,0,4
1004024,8.51.00,26,8.51.00,0,3
1004024,8.53.00,27,8.53.00,0,2
1004024,9.00.00,28,9.00.00,0,1
1004025,9.06.00,1,9.06.00,0,1
1004025,9.13.00,2,9.13.00,0,2
1004025,9.15.00,3,9.15.00,0,3
1004025,9.17.00,4,9.17.00,0,4
1004025,9.21.00,5,9.21.00,0,5
1004025,9.25.00,6,9.25.00,0,6
1004025,9.27.00,7,9.27.00,0,7
1004025,9.31.00,8,9.31.00,0,8
1004025,9.35.00,9,9.35.00,0,9
